index,name,mass,px,py,vx,vy,total_fx,total_fy
Vesta,Vesta,2.59E+20,3.01E+11,-1.86E+11,-10186.8695,-16486.69051,0,0
Venus,Venus,4.87E+24,1.08E+11,0,0,-35022.10023,0,0
Uranus,Uranus,8.68E+25,0,-2.87E+12,-6797.133477,0,0,0
Toutatis,Toutatis,5.00E+13,3.40E+11,-1.67E+11,-8260.097684,-16788.70578,0,0
Sun,Sun,1.99E+30,0,0,0,0,0,0
Steins,Steins,5.14E+13,-1.89E+11,-2.99E+11,-16373.16242,10360.68932,0,0
Siwa,Siwa,1.50E+18,-2.06E+11,3.53E+11,15560.14362,9088.412486,0,0
Shipka,Shipka,4.37E+20,-29626539271,4.50E+11,17110.69956,1125.587946,0,0
Saturn,Saturn,5.68E+26,0,1.43E+12,9621.814247,0,0,0
Rodari,Rodari,1.21E+12,1.18E+11,3.06E+11,18756.75634,-7247.530969,0,0
Pluto,Pluto,1.46E+22,0,5.91E+12,4740.175151,0,0,0
Pallas,Pallas,2.05E+20,-3.18E+11,-2.67E+11,-11507.16633,13697.3267,0,0
Otawara,Otawara,2.00E+14,-1.76E+11,2.72E+11,16982.85019,10989.74704,0,0
Neptune,Neptune,1.02E+26,-4.50E+12,0,0,5433.580907,0,0
Mimistrobell,Mimistrobell,1.08E+12,1.13E+11,-3.17E+11,-18704.2245,-6665.655308,0,0
Mercury,Mercury,3.30E+23,0,57900812779,47875.85414,0,0,0
McAuliffe,McAuliffe,1.84E+12,-1.25E+11,2.52E+11,19462.48113,9661.231424,0,0
Mathilde,Mathilde,1.03E+17,3.77E+11,1.20E+11,5568.045873,-17439.65142,0,0
Mars,Mars,6.42E+23,2.28E+11,0,0,-24131.46312,0,0
Lutetia,Lutetia,1.70E+18,2.76E+11,-2.38E+11,-12487.3089,-14435.74053,0,0
Kleopatra,Kleopatra,5.21E+20,-31291043143,4.17E+11,17768.85645,1333.957256,0,0
Jupiter,Jupiter,1.90E+27,0,-7.79E+11,-13055.65356,0,0,0
Juno,Juno,2.00E+19,-3.84E+11,-1.09E+11,-4967.458195,17538.01364,0,0
Itokawa,Itokawa,35000000000,-1.92E+11,-47760728881,-6241.664822,25121.25878,0,0
Ida,Ida,1.00E+17,-1.55E+11,3.99E+11,16416.63816,6369.464785,0,0
Icarus,Icarus,1.00E+12,1.39E+11,81453555017,14489.16564,-24758.88871,0,0
Geographos,Geographos,4.00E+12,-1.75E+11,-62980769015,-9026.41729,25121.22918,0,0
Eugenia,Eugenia,6.10E+18,-2.62E+11,-3.12E+11,-13819.76564,11620.84769,0,0
Eros,Eros,6.69E+15,47577279686,-2.13E+11,-24072.913,-5380.526762,0,0
Earth,Earth,5.97E+24,-1.50E+11,0,0,29784.68892,0,0
Chiron,Chiron,4.00E+18,9.00E+11,1.83E+12,7238.259753,-3558.172398,0,0
Ceres,Ceres,9.39E+20,-1.86E+11,3.70E+11,15987.49331,8055.691562,0,0
Castalia,Castalia,5.00E+11,86728335496,-1.33E+11,-24214.17305,-15755.15172,0,0
Braille,Braille,7.40E+13,-2.02E+11,-2.86E+11,-15900.65731,11230.38515,0,0
Bennu,Bennu,73000000000,1.24E+11,-1.14E+11,-19006.50523,-20654.54892,0,0
Apollo,Apollo,2.00E+12,-2.09E+11,-67677628076,-7560.153305,23373.75257,0,0
